LabID,Sample,Plot,Transect Pair,DateReceived,Test,SurSo4,Ca,Mg,OM,TN,BDFieldWeight(g),BDDryWeight(g),soilMoisture,bulkDensity(g/cm3),NO3-N (ppm),NH4-N (ppm),Plot#,Sam Date,Ext Date(0or3),net mineralization,net netrification
803321,159,J11,B,2016-04-18T00:00:00-05:00,27O,5.118,2446,708,1.09,0.08,215.93,180.89,0.1622748113,1.535438418,0.11,0,J11B,3/21/16,0,0.16,0.16
803322,160,J11,C,2016-04-18T00:00:00-05:00,27O,4.385,2964,688,1.23,0.08,206.16,172.12,0.1651144742,1.46099652,0.1,0,J11C,3/21/16,0,0.14,0.14
803323,161,J12,A,2016-04-18T00:00:00-05:00,27O,2.97,3272,802,1.47,0.09,201.09,180.61,0.101844945,1.53306171,0.11,0,J12A,3/24/16,0,0.25,0.25
803324,162,J12,B,2016-04-18T00:00:00-05:00,27O,5.04,4987,741,1.67,0.1,180.18,153.31,0.1491286491,1.301332654,0.1,0,J12B,3/24/16,0,0.28,0.28
803325,163,J12,C,2016-04-18T00:00:00-05:00,27O,4.716,4762,766,1.73,0.1,194.64,171.08,0.1210439786,1.452168746,0.15,0,J12C,3/24/16,0,0.28,0.28
803326,164,J13,A,2016-04-18T00:00:00-05:00,27O,3.042,2861,609,1.42,0.08,201.93,170.69,0.1547070767,1.448858331,0.11,0,J13A,3/21/16,0,0.1,0.1
803327,165,J13,B,2016-04-18T00:00:00-05:00,27O,3.179,2648,577,1.32,0.08,177.50,150.45,0.1523943662,1.277056277,0.11,0,J13B,3/21/16,0,0.15,0.15
803328,166,J13,C,2016-04-18T00:00:00-05:00,27O,2.841,2995,659,1.63,0.09,144.78,121.66,0.159690565,1.032679739,0.11,0,J13C,3/21/16,0,0.14,0.14
803330,167,J14,A,2016-04-18T00:00:00-05:00,27O,6.388,3930,830,1,0.07,215.10,187.82,0.1268247327,1.594261947,0.38,0.41,J14A,3/20/16,0,0.15,0.24
803331,168,J14,B,2016-04-18T00:00:00-05:00,27O,4.099,7817,706,1.29,0.07,216.08,184.96,0.1440207331,1.56998557,0.21,0,J14B,3/20/16,0,0.14,0.14
803332,169,J14,C,2016-04-18T00:00:00-05:00,27O,4.795,11273,618,1.47,0.07,199.86,174.73,0.1257380166,1.483150836,0.34,0,J14C,3/20/16,0,0.15,0.15
803333,170,J16,A,2016-04-18T00:00:00-05:00,27O,2.759,3066,735,1.17,0.08,225.68,185.45,0.1782612549,1.574144809,0,0,J16A,3/19/16,0,0.18,0.18
803334,171,J16,B,2016-04-18T00:00:00-05:00,27O,26.15,2843,731,1.13,0.08,216.19,174.89,0.1910356631,1.484508955,0.1,0,J16B,3/19/16,0,0.05,0.05
803335,172,J16,C,2016-04-18T00:00:00-05:00,27O,3.031,2665,672,1.24,0.09,223.60,180.11,0.1944991055,1.528817588,0,0,J16C,3/19/16,0,0.17,0.17
803336,173,J18,A,2016-04-18T00:00:00-05:00,27O,1,2621,771,1.19,0.09,211.87,169.50,0.1999811205,1.438757321,0,0,J18A,3/21/16,0,0.15,0.15
803337,174,J18,B,2016-04-18T00:00:00-05:00,27O,3.209,2802,779,1.15,0.09,191.62,153.51,0.1988832063,1.303030303,0,0,J18B,3/21/16,0,0.14,0.14
803338,176,J18,C,2016-04-18T00:00:00-05:00,27O,2.249,2711,804,1.1,0.08,204.59,163.43,0.2011828535,1.387233681,0,0,J18C,3/21/16,0,0.13,0.13
803340,177,J22,A,2016-04-18T00:00:00-05:00,27O,4,3060,736,1.38,0.09,209.24,171.80,0.1789332824,1.458280282,0.36,0.7,J22A,3/19/16,0,-0.81,-0.11
803341,178,J22,B,2016-04-18T00:00:00-05:00,27O,3,3235,758,1.51,0.1,217.55,175.12,0.195035624,1.486461251,0.18,0,J22B,3/19/16,0,0.12,0.12
803342,179,J22,C,2016-04-18T00:00:00-05:00,27O,3.632,3131,724,1.39,0.09,195.15,172.92,0.1139123751,1.467787115,0.18,0,J22C,3/19/16,0,0.16,0.16
803343,180,J23,A,2016-04-18T00:00:00-05:00,27O,2.375,5915,848,2.06,0.11,185.02,163.45,0.1165819911,1.387403446,0.11,0.13,J23A,3/18/16,0,0.14,0.27
803344,181,J23,B,2016-04-18T00:00:00-05:00,27O,1.963,5591,857,1.71,0.1,188.34,165.34,0.122119571,1.403446227,0.1,0,J23B,3/18/16,0,0.18,0.18
803345,182,J23,C,2016-04-18T00:00:00-05:00,27O,2.004,5765,839,1.59,0.1,166.86,149.52,0.1039194534,1.26916221,0.29,0,J23C,3/18/16,3,NA,NA
803346,183,J24,A,2016-04-18T00:00:00-05:00,27O,3.943,4701,785,1.03,0.07,167.78,137.90,0.1780903564,1.170528818,0.33,0,J24A,3/20/16,0,0.11,0.11
803347,184,J24,B,2016-04-18T00:00:00-05:00,27O,3.222,4153,770,0.88,0.06,215.18,189.30,0.1202714007,1.606824548,0.32,0,J24B,3/20/16,0,0.12,0.12
803348,185,J24,C,2016-04-18T00:00:00-05:00,27O,3.185,4059,809,0.81,0.06,185.85,164.10,0.1170298628,1.392920805,0.2,0,J24C,3/20/16,0,0.19,0.19
803350,186,J25,A,2016-04-18T00:00:00-05:00,27O,4.049,2771,717,1.05,0.08,202.02,167.31,0.1718146718,1.420168067,0.15,0.99,J25A,3/19/16,0,-0.04,0.17
803351,187,J25,B,2016-04-18T00:00:00-05:00,27O,2.248,2639,702,1.16,0.08,201.20,166.53,0.1723161034,1.413547237,0.1,0,J25B,3/19/16,0,0.14,0.14
803352,188,J25,C,2016-04-18T00:00:00-05:00,27O,2.211,2556,690,1.11,0.08,215.34,176.36,0.1810160676,1.496986673,0.1,0,J25C,3/19/16,0,0.14,0.14
803353,189,J26,A,2016-04-18T00:00:00-05:00,27O,13.591,4354,717,1.4,0.09,220.75,190.02,0.139207248,1.612936084,0.22,0,J26A,3/23/16,0,0.32,0.32
803354,190,J26,B,2016-04-18T00:00:00-05:00,27O,9.508,4298,732,1.49,0.1,190.50,163.69,0.1407349081,1.389440625,0.1,0,J26B,3/23/16,0,0.27,0.27
803355,191,J26,C,2016-04-18T00:00:00-05:00,27O,4.577,3445,782,1.2,0.08,183.92,159.08,0.1350587212,1.350309821,0,0,J26C,3/23/16,0,0.32,0.32
803356,192,J27,A,2016-04-18T00:00:00-05:00,27O,3.177,3211,696,1.23,0.08,157.80,138.41,0.1228770596,1.174857822,0,0,J27A,3/23/16,0,0.3,0.3
803357,193,J27,B,2016-04-18T00:00:00-05:00,27O,3.65,3300,669,1.24,0.08,170.95,145.28,0.1501608658,1.233172057,0,0,J27B,3/23/16,0,0.28,0.28
803358,194,J27,C,2016-04-18T00:00:00-05:00,27O,2.738,3257,730,1.18,0.08,194.77,159.65,0.1803152436,1.35514812,0,0,J27C,3/23/16,0,0.29,0.29
803360,195,J28,A,2016-04-18T00:00:00-05:00,27O,6.767,2473,371,1.02,0.07,204.78,NA,#VALUE!,#VALUE!,0.38,0,J28A,3/23/16,0,0.13,0.13
803361,196,J28,B,2016-04-18T00:00:00-05:00,27O,7.059,2187,396,0.98,0.07,183.92,171.54,0.06731187473,1.456073338,0.26,0,J28B,3/23/16,0,0.14,0.14
803362,197,J28,C,2016-04-18T00:00:00-05:00,27O,8.293,2222,441,0.97,0.07,199.00,187.42,0.05819095477,1.59086665,0.22,0,J28C,3/23/16,0,0.11,0.11
