Site number,Site type,Transect,Species,Dead,Start,Stop,Difference,,Site number,Site type,Transect,Species,Dead,Live,Total,% cover dead,% cover live,% cover total
1,I,0,ARTRIW,,1665,1705,40,,4,I,100,ARTRIW,775,935,1710,15.5,18.7,34.2
1,I,0,ARTRIW,,1745,1790,45,,5,I,0,ARTRIW,380,525,905,7.6,10.5,18.1
1,I,0,ARTRIW,,2170,2230,60,,5,I,20,ARTRIW,450,700,1150,9,14,23
1,I,0,ARTRIW,,2335,2365,30,,5,I,40,ARTRIW,465,585,1050,9.3,11.7,21
1,I,0,ARTRIW,,2380,2410,30,,5,I,60,ARTRIW,790,635,1425,15.8,12.7,28.5
1,I,0,ARTRIW,,2460,2495,35,,5,I,80,ARTRIW,360,285,645,7.2,5.7,12.9
1,I,0,ARTRIW,,2765,2810,45,,5,I,100,ARTRIW,330,560,890,6.6,11.2,17.8
1,I,0,ARTRIW,,3240,3255,15,,6,I,0,ARTRIW,760,680,1440,15.2,13.6,28.8
1,I,0,ARTRIW,,3320,3380,60,,6,I,20,ARTRIW,660,775,1435,13.2,15.5,28.7
1,I,0,ARTRIW,,3590,3605,15,,6,I,40,ARTRIW,915,640,1555,18.3,12.8,31.1
1,I,0,ARTRIW,,4180,4240,60,,6,I,60,ARTRIW,760,445,1205,15.2,8.9,24.1
1,I,0,ARTRIW,,4730,4765,35,,6,I,80,ARTRIW,1065,350,1415,21.3,7,28.3
1,I,0,ARTRIW,,4890,5000,110,,6,I,100,ARTRIW,425,830,1255,8.5,16.6,25.1
1,I,20,ARTRIW,X,500,545,45,,7,I,0,ARTRIW,335,670,1005,6.7,13.4,20.1
1,I,20,ARTRIW,X,975,990,15,,7,I,20,ARTRIW,105,695,800,2.1,13.9,16
1,I,20,ARTRIW,X,1715,1725,10,,7,I,40,ARTRIW,100,700,800,2,14,16
1,I,20,ARTRIW,X,1780,1815,35,,7,I,60,ARTRIW,275,680,955,5.5,13.6,19.1
1,I,20,ARTRIW,X,1860,1965,105,,7,I,80,ARTRIW,220,870,1090,4.4,17.4,21.8
1,I,20,ARTRIW,X,2055,2060,5,,7,I,100,ARTRIW,220,955,1175,4.4,19.1,23.5
1,I,20,ARTRIW,X,2585,2635,50,,8,I,0,ARTRIW,400,510,910,8,10.2,18.2
1,I,20,ARTRIW,X,2655,2670,15,,8,I,20,ARTRIW,440,975,1415,8.8,19.5,28.3
1,I,20,ARTRIW,X,3290,3340,50,,8,I,40,ARTRIW,770,825,1595,15.4,16.5,31.9
1,I,20,ARTRIW,X,3460,3475,15,,8,I,60,ARTRIW,755,695,1450,15.1,13.9,29
1,I,20,ARTRIW,X,3710,3765,55,,8,I,80,ARTRIW,525,895,1420,10.5,17.9,28.4
1,I,20,ARTRIW,X,3795,3905,110,,8,I,100,ARTRIW,495,1090,1585,9.9,21.8,31.7
1,I,20,ARTRIW,X,3950,3965,15,,10,M,0,ARTRIW,465,735,1200,9.3,14.7,24
1,I,20,ARTRIW,X,4800,4825,25,,10,M,20,ARTRIW,430,780,1210,8.6,15.6,24.2
1,I,20,ARTRIW,,510,525,15,,10,M,40,ARTRIW,460,690,1150,9.2,13.8,23
1,I,20,ARTRIW,,560,580,20,,10,M,60,ARTRIW,390,810,1200,7.8,16.2,24
1,I,20,ARTRIW,,730,770,40,,10,M,80,ARTRIW,360,970,1330,7.2,19.4,26.6
1,I,20,ARTRIW,,900,910,10,,10,M,100,ARTRIW,425,830,1255,8.5,16.6,25.1
1,I,20,ARTRIW,,935,955,20,,11,M,0,ARTRIW,910,745,1655,18.2,14.9,33.1
1,I,20,ARTRIW,,1085,1175,90,,11,M,20,ARTRIW,600,925,1525,12,18.5,30.5
1,I,20,ARTRIW,,1275,1355,80,,11,M,40,ARTRIW,830,755,1585,16.6,15.1,31.7
1,I,20,ARTRIW,,1445,1540,95,,11,M,60,ARTRIW,970,1075,2045,19.4,21.5,40.9
1,I,20,ARTRIW,,1730,1735,5,,11,M,80,ARTRIW,710,1225,1935,14.2,24.5,38.7
1,I,20,ARTRIW,,1815,1860,45,,11,M,100,ARTRIW,905,1235,2140,18.1,24.7,42.8
1,I,20,ARTRIW,,1945,1955,10,,12,M,0,ARTRIW,105,835,940,2.1,16.7,18.8
1,I,20,ARTRIW,,1990,2010,20,,12,M,20,ARTRIW,985,950,1935,19.7,19,38.7
1,I,20,ARTRIW,,2520,2580,60,,12,M,40,ARTRIW,265,775,1040,5.3,15.5,20.8
1,I,20,ARTRIW,,2670,2720,50,,12,M,60,ARTRIW,435,1285,1720,8.7,25.7,34.4
1,I,20,ARTRIW,,2850,2860,10,,12,M,80,ARTRIW,270,1040,1310,5.4,20.8,26.2
1,I,20,ARTRIW,,2875,2895,20,,12,M,100,ARTRIW,335,1135,1470,6.7,22.7,29.4
1,I,20,ARTRIW,,2980,3000,20,,13,M,0,ARTRIW,700,1095,1795,14,21.9,35.9
1,I,20,ARTRIW,,3015,3040,25,,13,M,20,ARTRIW,525,510,1035,10.5,10.2,20.7
1,I,20,ARTRIW,,3430,3460,30,,13,M,40,ARTRIW,235,875,1110,4.7,17.5,22.2
1,I,20,ARTRIW,,4040,4050,10,,13,M,60,ARTRIW,245,575,820,4.9,11.5,16.4
1,I,20,ARTRIW,,4110,4165,55,,13,M,80,ARTRIW,375,720,1095,7.5,14.4,21.9
1,I,20,ARTRIW,,4345,4400,55,,13,M,100,ARTRIW,205,875,1080,4.1,17.5,21.6
1,I,20,ARTRIW,,4560,4570,10,,14,M,0,ARTRIW,375,945,1320,7.5,18.9,26.4
1,I,40,ARTRIW,X,70,100,30,,14,M,20,ARTRIW,215,1285,1500,4.3,25.7,30
1,I,40,ARTRIW,X,120,155,35,,14,M,40,ARTRIW,265,510,775,5.3,10.2,15.5
1,I,40,ARTRIW,X,475,520,45,,14,M,60,ARTRIW,555,786,1341,11.1,15.72,26.82
1,I,40,ARTRIW,X,935,1040,105,,14,M,80,ARTRIW,540,605,1145,10.8,12.1,22.9
1,I,40,ARTRIW,X,1345,1360,15,,14,M,100,ARTRIW,365,845,1210,7.3,16.9,24.2
1,I,40,ARTRIW,X,1755,1770,15,,24,C,40,CHRVIS,0,105,105,0,2.1,2.1
1,I,40,ARTRIW,X,2060,2070,10,,24,C,100,CHRVIS,30,0,30,0.6,0,0.6
1,I,40,ARTRIW,X,2380,2400,20,,,,,,,,,,,
1,I,40,ARTRIW,X,2665,2705,40,,,,,,,,,,,
1,I,40,ARTRIW,X,3000,3040,40,,,,,,,,,,,
1,I,40,ARTRIW,X,3785,3830,45,,,,,,,,,,,
1,I,40,ARTRIW,X,3860,3915,55,,,,,,,,,,,
1,I,40,ARTRIW,,520,600,80,,,,,,,,,,,
1,I,40,ARTRIW,,720,730,10,,,,,,,,,,,
1,I,40,ARTRIW,,1090,1100,10,,,,,,,,,,,
1,I,40,ARTRIW,,1200,1270,70,,,,,,,,,,,
1,I,40,ARTRIW,,1360,1445,85,,,,,,,,,,,
1,I,40,ARTRIW,,1730,1750,20,,,,,,,,,,,
1,I,40,ARTRIW,,1790,1840,50,,,,,,,,,,,
1,I,40,ARTRIW,,2400,2470,70,,,,,,,,,,,
1,I,40,ARTRIW,,2705,2745,40,,,,,,,,,,,
1,I,40,ARTRIW,,2875,2920,45,,,,,,,,,,,
1,I,40,ARTRIW,,3070,3140,70,,,,,,,,,,,
1,I,40,ARTRIW,,3450,3455,5,,,,,,,,,,,
1,I,40,ARTRIW,,4110,4125,15,,,,,,,,,,,
1,I,40,ARTRIW,,4140,4150,10,,,,,,,,,,,
1,I,40,ARTRIW,,4440,4495,55,,,,,,,,,,,
1,I,40,ARTRIW,,4705,4755,50,,,,,,,,,,,
1,I,40,ARTRIW,,4930,4950,20,,,,,,,,,,,
1,I,60,ARTRIW,X,30,70,40,,,,,,,,,,,
1,I,60,ARTRIW,X,460,485,25,,,,,,,,,,,
1,I,60,ARTRIW,X,530,540,10,,,,,,,,,,,
1,I,60,ARTRIW,X,570,625,55,,,,,,,,,,,
1,I,60,ARTRIW,X,1465,1555,90,,,,,,,,,,,
1,I,60,ARTRIW,X,1935,1950,15,,,,,,,,,,,
1,I,60,ARTRIW,X,2815,2845,30,,,,,,,,,,,
1,I,60,ARTRIW,X,3235,3300,65,,,,,,,,,,,
1,I,60,ARTRIW,X,3320,3355,35,,,,,,,,,,,
1,I,60,ARTRIW,X,3455,3485,30,,,,,,,,,,,
1,I,60,ARTRIW,X,3895,3920,25,,,,,,,,,,,
1,I,60,ARTRIW,X,4590,4600,10,,,,,,,,,,,
1,I,60,ARTRIW,X,4845,4905,60,,,,,,,,,,,
1,I,60,ARTRIW,,0,30,30,,,,,,,,,,,
1,I,60,ARTRIW,,550,560,10,,,,,,,,,,,
1,I,60,ARTRIW,,655,805,150,,,,,,,,,,,
1,I,60,ARTRIW,,1070,1175,105,,,,,,,,,,,
1,I,60,ARTRIW,,1325,1405,80,,,,,,,,,,,
1,I,60,ARTRIW,,2060,2080,20,,,,,,,,,,,
1,I,60,ARTRIW,,2525,2540,15,,,,,,,,,,,
1,I,60,ARTRIW,,3010,3080,70,,,,,,,,,,,
1,I,60,ARTRIW,,3770,3780,10,,,,,,,,,,,
1,I,60,ARTRIW,,4105,4125,20,,,,,,,,,,,
1,I,80,ARTRIW,X,770,790,20,,,,,,,,,,,
1,I,80,ARTRIW,X,1930,1955,25,,,,,,,,,,,
1,I,80,ARTRIW,X,3640,3755,115,,,,,,,,,,,
1,I,80,ARTRIW,X,3970,4025,55,,,,,,,,,,,
1,I,80,ARTRIW,,180,230,50,,,,,,,,,,,
1,I,80,ARTRIW,,790,925,135,,,,,,,,,,,
1,I,80,ARTRIW,,1040,1045,5,,,,,,,,,,,
1,I,80,ARTRIW,,1065,1110,45,,,,,,,,,,,
1,I,80,ARTRIW,,2135,2210,75,,,,,,,,,,,
1,I,80,ARTRIW,,2265,2345,80,,,,,,,,,,,
1,I,80,ARTRIW,,2665,2790,125,,,,,,,,,,,
1,I,80,ARTRIW,,4225,4365,140,,,,,,,,,,,
1,I,80,ARTRIW,,4180,4225,45,,,,,,,,,,,
1,I,80,ARTRIW,,4780,4880,100,,,,,,,,,,,
1,I,100,ARTRIW,X,30,90,60,,,,,,,,,,,
1,I,100,ARTRIW,X,685,695,10,,,,,,,,,,,
1,I,100,ARTRIW,X,1515,1550,35,,,,,,,,,,,
1,I,100,ARTRIW,X,1580,1615,35,,,,,,,,,,,
1,I,100,ARTRIW,X,1730,1770,40,,,,,,,,,,,
1,I,100,ARTRIW,X,2215,2235,20,,,,,,,,,,,
1,I,100,ARTRIW,X,2375,2415,40,,,,,,,,,,,
1,I,100,ARTRIW,X,3490,3520,30,,,,,,,,,,,
1,I,100,ARTRIW,X,3840,3875,35,,,,,,,,,,,
1,I,100,ARTRIW,X,4050,4115,65,,,,,,,,,,,
1,I,100,ARTRIW,X,4190,4210,20,,,,,,,,,,,
1,I,100,ARTRIW,X,4330,4365,35,,,,,,,,,,,
1,I,100,ARTRIW,X,4825,4845,20,,,,,,,,,,,
1,I,100,ARTRIW,X,4890,4910,20,,,,,,,,,,,
1,I,100,ARTRIW,,0,30,30,,,,,,,,,,,
1,I,100,ARTRIW,,215,285,70,,,,,,,,,,,
1,I,100,ARTRIW,,430,485,55,,,,,,,,,,,
1,I,100,ARTRIW,,695,715,20,,,,,,,,,,,
1,I,100,ARTRIW,,730,745,15,,,,,,,,,,,
1,I,100,ARTRIW,,1560,1570,10,,,,,,,,,,,
1,I,100,ARTRIW,,1615,1645,30,,,,,,,,,,,
1,I,100,ARTRIW,,1795,1895,100,,,,,,,,,,,
1,I,100,ARTRIW,,2250,2285,35,,,,,,,,,,,
1,I,100,ARTRIW,,2330,2350,20,,,,,,,,,,,
1,I,100,ARTRIW,,2415,2540,125,,,,,,,,,,,
1,I,100,ARTRIW,,3280,3350,70,,,,,,,,,,,
1,I,100,ARTRIW,,3560,3630,70,,,,,,,,,,,
1,I,100,ARTRIW,,4210,4225,15,,,,,,,,,,,
1,I,100,ARTRIW,,4330,4365,35,,,,,,,,,,,
1,I,100,ARTRIW,,4825,4845,20,,,,,,,,,,,
1,I,100,ARTRIW,,4890,4910,20,,,,,,,,,,,
2,I,0,ARTRIW,X,295,340,45,,,,,,,,,,,
2,I,0,ARTRIW,X,570,590,20,,,,,,,,,,,
2,I,0,ARTRIW,X,1310,1340,30,,,,,,,,,,,
2,I,0,ARTRIW,X,1740,1765,25,,,,,,,,,,,
2,I,0,ARTRIW,X,3200,3240,40,,,,,,,,,,,
2,I,0,ARTRIW,X,4385,4440,55,,,,,,,,,,,
2,I,0,ARTRIW,X,4710,4720,10,,,,,,,,,,,
2,I,0,ARTRIW,,180,215,35,,,,,,,,,,,
2,I,0,ARTRIW,,235,280,45,,,,,,,,,,,
2,I,0,ARTRIW,,400,425,25,,,,,,,,,,,
2,I,0,ARTRIW,,590,635,45,,,,,,,,,,,
2,I,0,ARTRIW,,690,720,30,,,,,,,,,,,
2,I,0,ARTRIW,,790,825,35,,,,,,,,,,,
2,I,0,ARTRIW,,1105,1125,20,,,,,,,,,,,
2,I,0,ARTRIW,,1240,1305,65,,,,,,,,,,,
2,I,0,ARTRIW,,1340,1390,50,,,,,,,,,,,
2,I,0,ARTRIW,,1425,1485,60,,,,,,,,,,,
2,I,0,ARTRIW,,1650,1740,90,,,,,,,,,,,
2,I,0,ARTRIW,,2050,2210,160,,,,,,,,,,,
2,I,0,ARTRIW,,2855,2920,65,,,,,,,,,,,
2,I,0,ARTRIW,,2985,3065,80,,,,,,,,,,,
2,I,0,ARTRIW,,3085,3140,55,,,,,,,,,,,
2,I,0,ARTRIW,,3250,3260,10,,,,,,,,,,,
2,I,0,ARTRIW,,3745,3900,155,,,,,,,,,,,
2,I,20,ARTRIW,X,500,515,15,,,,,,,,,,,
2,I,20,ARTRIW,X,530,550,20,,,,,,,,,,,
2,I,20,ARTRIW,X,730,745,15,,,,,,,,,,,
2,I,20,ARTRIW,X,950,985,35,,,,,,,,,,,
2,I,20,ARTRIW,X,2620,2665,45,,,,,,,,,,,
2,I,20,ARTRIW,X,3840,3850,10,,,,,,,,,,,
2,I,20,ARTRIW,X,4470,4475,5,,,,,,,,,,,
2,I,20,ARTRIW,X,4600,4630,30,,,,,,,,,,,
2,I,20,ARTRIW,X,4865,4910,45,,,,,,,,,,,
2,I,20,CHRNAU,X,2570,2590,20,,,,,,,,,,,
2,I,20,ARTRIW,,50,115,65,,,,,,,,,,,
2,I,20,ARTRIW,,195,250,55,,,,,,,,,,,
2,I,20,ARTRIW,,270,290,20,,,,,,,,,,,
2,I,20,ARTRIW,,475,490,15,,,,,,,,,,,
2,I,20,ARTRIW,,515,530,15,,,,,,,,,,,
2,I,20,ARTRIW,,660,730,70,,,,,,,,,,,
2,I,20,ARTRIW,,985,1065,80,,,,,,,,,,,
2,I,20,ARTRIW,,1220,1230,10,,,,,,,,,,,
2,I,20,ARTRIW,,1775,1805,30,,,,,,,,,,,
2,I,20,ARTRIW,,1820,1880,60,,,,,,,,,,,
2,I,20,ARTRIW,,2840,2860,20,,,,,,,,,,,
2,I,20,ARTRIW,,3565,3650,85,,,,,,,,,,,
2,I,20,ARTRIW,,3685,3700,15,,,,,,,,,,,
2,I,20,ARTRIW,,3860,3980,120,,,,,,,,,,,
2,I,20,ARTRIW,,4150,4155,5,,,,,,,,,,,
2,I,20,ARTRIW,,4170,4185,15,,,,,,,,,,,
2,I,20,ARTRIW,,4230,4275,45,,,,,,,,,,,
2,I,20,ARTRIW,,4630,4830,200,,,,,,,,,,,
2,I,20,CHRNAU,,2710,2840,130,,,,,,,,,,,
2,I,40,ARTRIW,X,430,510,80,,,,,,,,,,,
2,I,40,ARTRIW,X,765,795,30,,,,,,,,,,,
2,I,40,ARTRIW,X,1800,1885,85,,,,,,,,,,,
2,I,40,ARTRIW,X,2175,2215,40,,,,,,,,,,,
2,I,40,ARTRIW,X,3290,3310,20,,,,,,,,,,,
2,I,40,ARTRIW,,180,210,30,,,,,,,,,,,
2,I,40,ARTRIW,,710,760,50,,,,,,,,,,,
2,I,40,ARTRIW,,1640,1700,60,,,,,,,,,,,
2,I,40,ARTRIW,,1715,1755,40,,,,,,,,,,,
2,I,40,ARTRIW,,1990,2085,95,,,,,,,,,,,
2,I,40,ARTRIW,,2125,2145,20,,,,,,,,,,,
2,I,40,ARTRIW,,2375,2560,185,,,,,,,,,,,
2,I,40,ARTRIW,,3255,3265,10,,,,,,,,,,,
2,I,40,ARTRIW,,3310,3350,40,,,,,,,,,,,
2,I,40,ARTRIW,,3605,3625,20,,,,,,,,,,,
2,I,40,ARTRIW,,4525,4555,30,,,,,,,,,,,
2,I,40,ARTRIW,,4620,4630,10,,,,,,,,,,,
2,I,60,ARTRIW,X,1165,1205,40,,,,,,,,,,,
2,I,60,ARTRIW,X,1540,1575,35,,,,,,,,,,,
2,I,60,ARTRIW,X,2080,2105,25,,,,,,,,,,,
2,I,60,ARTRIW,X,3085,3125,40,,,,,,,,,,,
2,I,60,ARTRIW,X,4000,4025,25,,,,,,,,,,,
2,I,60,ARTRIW,X,4070,4100,30,,,,,,,,,,,
2,I,60,ARTRIW,X,4140,4205,65,,,,,,,,,,,
2,I,60,ARTRIW,X,4360,4380,20,,,,,,,,,,,
2,I,60,ARTRIW,X,4815,4955,140,,,,,,,,,,,
2,I,60,ARTRIW,,0,20,20,,,,,,,,,,,
2,I,60,ARTRIW,,120,140,20,,,,,,,,,,,
2,I,60,ARTRIW,,195,220,25,,,,,,,,,,,
2,I,60,ARTRIW,,270,290,20,,,,,,,,,,,
2,I,60,ARTRIW,,545,555,10,,,,,,,,,,,
2,I,60,ARTRIW,,990,1010,20,,,,,,,,,,,
2,I,60,ARTRIW,,1115,1135,20,,,,,,,,,,,
2,I,60,ARTRIW,,1150,1165,15,,,,,,,,,,,
2,I,60,ARTRIW,,1230,1265,35,,,,,,,,,,,
2,I,60,ARTRIW,,1480,1540,60,,,,,,,,,,,
2,I,60,ARTRIW,,1798,1805,7,,,,,,,,,,,
2,I,60,ARTRIW,,1860,1865,5,,,,,,,,,,,
2,I,60,ARTRIW,,1885,1895,10,,,,,,,,,,,
2,I,60,ARTRIW,,1940,1955,15,,,,,,,,,,,
2,I,60,ARTRIW,,1995,2015,20,,,,,,,,,,,
2,I,60,ARTRIW,,2020,2060,40,,,,,,,,,,,
2,I,60,ARTRIW,,2105,2120,15,,,,,,,,,,,
2,I,60,ARTRIW,,2190,2205,15,,,,,,,,,,,
2,I,60,ARTRIW,,2230,2250,20,,,,,,,,,,,
2,I,60,ARTRIW,,2275,2290,15,,,,,,,,,,,
2,I,60,ARTRIW,,2340,2375,35,,,,,,,,,,,
2,I,60,ARTRIW,,2490,2560,70,,,,,,,,,,,
2,I,60,ARTRIW,,2620,2640,20,,,,,,,,,,,
2,I,60,ARTRIW,,2695,2705,10,,,,,,,,,,,
2,I,60,ARTRIW,,2730,2750,20,,,,,,,,,,,
2,I,60,ARTRIW,,2795,2825,30,,,,,,,,,,,
2,I,60,ARTRIW,,2855,2910,55,,,,,,,,,,,
2,I,60,ARTRIW,,2850,2880,30,,,,,,,,,,,
2,I,60,ARTRIW,,3040,3070,30,,,,,,,,,,,
2,I,60,ARTRIW,,3140,3155,15,,,,,,,,,,,
2,I,60,ARTRIW,,3185,3205,20,,,,,,,,,,,
2,I,60,ARTRIW,,3220,3230,10,,,,,,,,,,,
2,I,60,ARTRIW,,3920,3980,60,,,,,,,,,,,
2,I,60,ARTRIW,,4215,4245,30,,,,,,,,,,,
2,I,60,ARTRIW,,4480,4495,15,,,,,,,,,,,
2,I,80,ARTRIW,X,340,345,5,,,,,,,,,,,
2,I,80,ARTRIW,X,1230,1250,20,,,,,,,,,,,
2,I,80,ARTRIW,X,2320,2360,40,,,,,,,,,,,
2,I,80,ARTRIW,X,3135,3220,85,,,,,,,,,,,
2,I,80,ARTRIW,X,3600,3640,40,,,,,,,,,,,
2,I,80,ARTRIW,X,4040,4050,10,,,,,,,,,,,
2,I,80,CHRNAU,X,2920,3030,110,,,,,,,,,,,
2,I,80,ARTRIW,,55,155,100,,,,,,,,,,,
2,I,80,ARTRIW,,550,640,90,,,,,,,,,,,
2,I,80,ARTRIW,,730,750,20,,,,,,,,,,,
2,I,80,ARTRIW,,770,845,75,,,,,,,,,,,
2,I,80,ARTRIW,,920,970,50,,,,,,,,,,,
2,I,80,ARTRIW,,1190,1210,20,,,,,,,,,,,
2,I,80,ARTRIW,,1265,1325,60,,,,,,,,,,,
2,I,80,ARTRIW,,1935,2000,65,,,,,,,,,,,
2,I,80,ARTRIW,,2220,2320,100,,,,,,,,,,,
2,I,80,ARTRIW,,3415,3560,145,,,,,,,,,,,
2,I,80,ARTRIW,,3830,3855,25,,,,,,,,,,,
2,I,80,ARTRIW,,4010,4025,15,,,,,,,,,,,
2,I,80,ARTRIW,,4525,4620,95,,,,,,,,,,,
2,I,80,ARTRIW,,4860,5000,140,,,,,,,,,,,
2,I,100,ARTRIW,X,1100,1150,50,,,,,,,,,,,
2,I,100,ARTRIW,X,1395,1440,45,,,,,,,,,,,
2,I,100,ARTRIW,X,1460,1505,45,,,,,,,,,,,
2,I,100,ARTRIW,X,1525,1570,45,,,,,,,,,,,
2,I,100,ARTRIW,X,2520,2585,65,,,,,,,,,,,
2,I,100,ARTRIW,X,2825,2835,10,,,,,,,,,,,
2,I,100,ARTRIW,X,3670,3705,35,,,,,,,,,,,
2,I,100,ARTRIW,X,3770,3790,20,,,,,,,,,,,
2,I,100,ARTRIW,X,3865,3920,55,,,,,,,,,,,
2,I,100,ARTRIW,X,4120,4180,60,,,,,,,,,,,
2,I,100,ARTRIW,X,4795,4820,25,,,,,,,,,,,
2,I,100,GRASPI,X,4960,5000,40,,,,,,,,,,,
2,I,100,ARTRIW,,0,50,50,,,,,,,,,,,
2,I,100,ARTRIW,,400,410,10,,,,,,,,,,,
2,I,100,ARTRIW,,540,600,60,,,,,,,,,,,
2,I,100,ARTRIW,,780,800,20,,,,,,,,,,,
2,I,100,ARTRIW,,1080,1100,20,,,,,,,,,,,
2,I,100,ARTRIW,,1240,1300,60,,,,,,,,,,,
2,I,100,ARTRIW,,1995,2020,25,,,,,,,,,,,
2,I,100,ARTRIW,,2335,2390,55,,,,,,,,,,,
2,I,100,ARTRIW,,2420,2520,100,,,,,,,,,,,
2,I,100,ARTRIW,,2835,2850,15,,,,,,,,,,,
2,I,100,ARTRIW,,3200,3230,30,,,,,,,,,,,
2,I,100,ARTRIW,,3355,3465,110,,,,,,,,,,,
2,I,100,ARTRIW,,3575,3600,25,,,,,,,,,,,
2,I,100,ARTRIW,,3815,3860,45,,,,,,,,,,,
2,I,100,ARTRIW,,4070,4120,50,,,,,,,,,,,
2,I,100,ARTRIW,,4305,4330,25,,,,,,,,,,,
2,I,100,ARTRIW,,4355,4450,95,,,,,,,,,,,
2,I,100,ARTRIW,,4565,4655,90,,,,,,,,,,,
2,I,100,ARTRIW,,4680,4730,50,,,,,,,,,,,
2,I,100,ARTRIW,,4760,4775,15,,,,,,,,,,,
3,I,0,ARTRIW,X,50,65,15,,,,,,,,,,,
3,I,0,ARTRIW,X,85,105,20,,,,,,,,,,,
3,I,0,ARTRIW,X,185,190,5,,,,,,,,,,,
3,I,0,ARTRIW,X,330,365,35,,,,,,,,,,,
3,I,0,ARTRIW,X,745,820,75,,,,,,,,,,,
3,I,0,ARTRIW,X,1525,1540,15,,,,,,,,,,,
3,I,0,ARTRIW,X,1895,1990,95,,,,,,,,,,,
3,I,0,ARTRIW,X,2895,2920,25,,,,,,,,,,,
3,I,0,ARTRIW,X,3050,3115,65,,,,,,,,,,,
3,I,0,ARTRIW,X,4190,4200,10,,,,,,,,,,,
3,I,0,ARTRIW,X,4760,4765,5,,,,,,,,,,,
3,I,0,ARTRIW,,630,790,160,,,,,,,,,,,
3,I,0,ARTRIW,,990,1005,15,,,,,,,,,,,
3,I,0,ARTRIW,,1530,1540,10,,,,,,,,,,,
3,I,0,ARTRIW,,2005,2020,15,,,,,,,,,,,
3,I,0,ARTRIW,,2660,2695,35,,,,,,,,,,,
3,I,0,ARTRIW,,3750,3775,25,,,,,,,,,,,
3,I,0,ARTRIW,,3830,3890,60,,,,,,,,,,,
3,I,0,ARTRIW,,4105,4165,60,,,,,,,,,,,
3,I,0,ARTRIW,,4225,4245,20,,,,,,,,,,,
3,I,0,ARTRIW,,4950,4965,15,,,,,,,,,,,
3,I,20,ARTRIW,X,445,460,15,,,,,,,,,,,
3,I,20,ARTRIW,X,890,910,20,,,,,,,,,,,
3,I,20,ARTRIW,X,1440,1455,15,,,,,,,,,,,
3,I,20,ARTRIW,X,1465,1475,10,,,,,,,,,,,
3,I,20,ARTRIW,X,2450,2470,20,,,,,,,,,,,
3,I,20,ARTRIW,X,4395,4455,60,,,,,,,,,,,
3,I,20,ARTRIW,,0,40,40,,,,,,,,,,,
3,I,20,ARTRIW,,400,445,45,,,,,,,,,,,
3,I,20,ARTRIW,,870,890,20,,,,,,,,,,,
3,I,20,ARTRIW,,1025,1030,5,,,,,,,,,,,
3,I,20,ARTRIW,,1455,1465,10,,,,,,,,,,,
