"","X","subPlot","Plot.","NearestSage","TransectPair","Date","Litter","Bare","Crypto","Rock","Dung","FirstYearSeedlingDensity","BRTE_A","VUBR_A","ELCA_A","Inv_AG_A","ERCI_A","LASE_A","DESO_A","SATR_A","SIAL_A","LEPE_A","UJ1_A","CETE_A","ALMI_A","TRDU_A","Inv_AF_A","POSE_A","ELEL_A","PASM_A","ORHY_A","CARX_A","ACTH_A","Nat_PG_A","TEGL_A","ERNA_A","GRSP_A","CHVI_A","ARTR_A","Shrub_A","UNK9_A","DEPI_A","UJ10_A","UJ13_A","UJ8_A","Nat_AF_A","PHDI_A","UNKJ4_A","UJ11_A","UJ12_A","UJ14_A","UJ4_A","CABR_A","UJ9_A","UJ7_A","CROC_A","DICA_A","AMIN_A","UJ3_A","UNK11_A","UJ5_A","Nat_PF_A","Plot_Tran"
"11",11,"1-11","J16",">200","A","2016/06/25",98,0.5,0,0,0,0,8,0,0,8,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J16A"
"12",12,"2-1","J16",">200","A","2016/06/25",98,0,0,0,0,0,12,0,0,12,3,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J16A"
"13",13,"2-2","J16",">200","A","2016/06/25",98,0,0,0,0,0,11,0,0,11,12,0,0,0,0.5,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J16A"
"14",14,"2-3","J16",">200","A","2016/06/25",99,0,0,0,0,0,6,0,0,6,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J16A"
"15",15,"2-4","J16",">200","A","2016/06/25",99,0,0,0,0,0,7,0,0,7,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J16A"
"16",16,"2-5","J16",">200","A","2016/06/25",99,0,0,0,0,0,7,0,0,7,15,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J16A"
"17",17,"2-6","J16",">200","A","2016/06/25",99,0,0,0,0,0,4,0,0,4,15,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J16A"
"18",18,"2-7","J16",">200","A","2016/06/25",98,0,0,0,0,0,12,0,0,12,12,0,0,0,2,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J16A"
"19",19,"2-8","J16",">200","A","2016/06/25",84,11,0,0,0,0,3,0,0,3,15,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J16A"
"20",20,"2-9","J16",">200","A","2016/06/25",55,45,0,0.5,0,0,4,0,0,4,5,0,0,0,0.5,0,0,0,0,0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J16A"
"21",21,"2-10","J16",">200","A","2016/06/25",88,10,0,0,0,0,10,0,0,10,15,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J16A"
"22",22,"2-11","J16",">200","A","2016/06/25",98,2,0,0,0,0,6,0,0,6,15,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J16A"
"23",23,"1-1","J16",">200","B","2016/06/25",93,5,0,0,0,0,10,0,0,10,10,0,0,0,0.5,0,0,0,0,0,10.5,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J16B"
"24",24,"1-2","J16",">200","B","2016/06/25",27,68,0,2,0,0,2,0,0,2,0,0,0,0,0,15,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J16B"
"25",25,"1-3","J16",">200","B","2016/06/25",95,0,0,0,0,0,3,0,0,3,7,0,0,0,0,0,0,0,0,0,7,20,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J16B"
"26",26,"1-4","J16",">200","B","2016/06/25",88,10,0,0,0,0,3,0,0,3,7,0,0,0,0,0,0,0,0,0,7,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J16B"
"27",27,"1-5","J16",">200","B","2016/06/25",97,1,0,0,0,0,15,0,0,15,15,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J16B"
"28",28,"1-6","J16",">200","B","2016/06/25",98,0,0,0,0,0,15,0,0,15,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J16B"
"29",29,"1-7","J16",">200","B","2016/06/25",87,10,0,0,0,0,14,0,0,14,20,0,0,0,0,0,0,0,0,0,20,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,"J16B"
"30",30,"1-8","J16",">200","B","2016/06/25",83,12,0,0.5,0.5,0,2,0,0,2,5,0,0,0,0,0,0,0,0,0,5,14,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J16B"
"31",31,"1-9","J16",">200","B","2016/06/25",97,2,0,0,0,0,4,0,0,4,9,0,0,0,0,0,0,0,0,0,9,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J16B"
"32",32,"1-10","J16",">200","B","2016/06/25",96,0,0,0,0,0,17,0,0,17,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J16B"
"33",33,"1-11","J16",">200","B","2016/06/25",97,0,0,0,0,0,12,0,0,12,12,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J16B"
"34",34,"2-1","J16",">200","B","2016/06/25",98,0,0,0,0,0,10,0,0,10,10,0,0,0,0.5,1,0,0,0,0,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J16B"
"35",35,"2-2","J16",">200","B","2016/06/25",95,1,0,0,1,0,17,0,0,17,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J16B"
"36",36,"2-3","J16",">200","B","2016/06/25",97,0,0,0,0,0,12,0,0,12,1,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J16B"
"37",37,"2-4","J16",">200","B","2016/06/25",95,0,0,0,0,0,25,0,0,25,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J16B"
"38",38,"2-5","J16",">200","B","2016/06/25",98,0,0,0,0,0,7,0,0,7,12,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J16B"
"39",39,"2-6","J16",">200","B","2016/06/25",98,0,0,0,0,0,8,0,0,8,25,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J16B"
"40",40,"2-7","J16",">200","B","2016/06/25",91,9,0,0,0,0,4,0,0,4,25,0,0,0,0,0,0,0,0,0,25,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J16B"
"41",41,"2-8","J16",">200","B","2016/06/25",93,4,0,0,0,0,12,0,0,12,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J16B"
"42",42,"2-9","J16",">200","B","2016/06/25",97,0,0,0,0,0,14,0,0,14,4,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J16B"
"43",43,"2-10","J16",">200","B","2016/06/25",96,0,0,0,0,0,14,0,0,14,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J16B"
"44",44,"2-11","J16",">200","B","2016/06/25",89,0,0,0,8,0,15,0,0,15,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J16B"
"45",45,"1-1","J16",">200","C","2016/06/25",97,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J16C"
"46",46,"1-2","J16",">200","C","2016/06/25",99,0,0,0,0,0,6,0,0,6,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J16C"
"47",47,"1-3","J16",">200","C","2016/06/25",98,0,0,0,0,0,8,0,0,8,10,0,0,0,1,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J16C"
"48",48,"1-4","J16",">200","C","2016/06/25",97,0,0,0,0,0,12,0,0,12,18,0,0,0,0.5,0,0,0,0,0,18.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J16C"
"49",49,"1-5","J16",">200","C","2016/06/25",97,0,0,0,0,0,13,0,0,13,15,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J16C"
"50",50,"1-6","J16",">200","C","2016/06/25",98,0,0,0,0,0,9,0,0,9,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J16C"
"51",51,"1-7","J16",">200","C","2016/06/25",99,0,0,0,0,0,3,0,0,3,25,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J16C"
"52",52,"1-8","J16",">200","C","2016/06/25",96,0,0,0,0,0,20,0,0,20,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J16C"
"53",53,"1-9","J16",">200","C","2016/06/25",98,0,0,0,0,0,5,0,0,5,13,0,0,0,0,0,0,0,0,0,13,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J16C"
"54",54,"1-10","J16",">200","C","2016/06/25",91,6,0,0,0,0,12,0,0,12,4,0,0,0,1,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J16C"
"55",55,"1-11","J16",">200","C","2016/06/25",87,10,0,0,1,0,5,0,0,5,20,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J16C"
"56",56,"2-1","J16",">200","C","2016/06/25",97,0,0,0,0,0,14,0,0,14,15,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J16C"
"57",57,"2-2","J16",">200","C","2016/06/25",98,0,0,0,0,0,12,0,0,12,12,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J16C"
"58",58,"2-3","J16",">200","C","2016/06/25",84,15,0,0,0,0,8,0,0,8,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J16C"
"59",59,"2-4","J16",">200","C","2016/06/25",93,5,0,0,0,0,7,0,0,7,6,0,0,0,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J16C"
"60",60,"2-5","J16",">200","C","2016/06/25",98,1,0,0,0,0,9,0,0,9,8,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J16C"
"61",61,"2-6","J16",">200","C","2016/06/25",94,2,0,0,0,0,17,0,0,17,6,0,0,0,2,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J16C"
"62",62,"2-7","J16",">200","C","2016/06/25",94,0,0,0,0,0,2,0,0,2,5,0,0,0,0,0,0,0,0,0,5,20,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J16C"
"63",63,"2-8","J16",">200","C","2016/06/25",5,95,0,0,0,0,3,0,0,3,4,0,0,0,0.5,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J16C"
"64",64,"2-9","J16",">200","C","2016/06/25",95,0,0,0,0,0,20,0,0,20,8,0,0,0,0.5,0,0,0,0,0,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J16C"
"65",65,"2-10","J16",">200","C","2016/06/25",86,12,0,0.5,0,0,9,0,0,9,12,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J16C"
"66",66,"2-11","J16",">200","C","2016/06/25",83,15,0,0.5,0,0,1,0,0,1,15,0,0,0,0.5,0,0,0,0,0,15.5,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J16C"
"67",67,"1-1","J01","0","A","2016/06/25",12,81,5,2,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J01A"
"68",68,"1-2","J01","0","A","2016/06/25",77,20,1,0,0.5,0,1,0.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J01A"
"69",69,"1-3","J01","0","A","2016/06/25",20,77,1,1,0.5,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J01A"
"70",70,"1-4","J01","0","A","2016/06/25",82,15,1,0.5,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J01A"
"71",71,"1-5","J01","0","A","2016/06/25",65,25,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,8,8,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J01A"
"72",72,"1-6","J01","0","A","2016/06/25",4,92,1,1,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J01A"
"73",73,"1-7","J01","0","A","2016/06/25",95,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J01A"
"74",74,"1-8","J01","0","A","2016/06/25",74,20,2,1,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,30,30,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J01A"
"75",75,"1-9","J01","0","A","2016/06/25",8,86,2,2,1,1,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.5,0.5,0.5,0,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J01A"
"76",76,"1-10","J01","0","A","2016/06/25",10,84,3,3,0.5,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J01A"
"77",77,"1-11","J01","0","A","2016/06/25",27,70,1,1,0.5,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J01A"
"78",78,"2-1","J01","0","A","2016/06/25",14,84,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J01A"
"79",79,"2-2","J01","0","A","2016/06/25",8,90,1,1,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J01A"
"80",80,"2-3","J01","0","A","2016/06/25",76,20,1,1,0,0,14,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J01A"
"81",81,"2-4","J01","0","A","2016/06/25",72,25,1,0.5,0.5,0,15,1,0,16,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J01A"
"82",82,"2-5","J01","0","A","2016/06/25",95,0,0,0,0,0,15,0,0,15,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,15,0,0,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J01A"
"83",83,"2-6","J01","0","A","2016/06/25",97,0,0,0,0,0,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J01A"
"84",84,"2-7","J01","0","A","2016/06/25",25,69,1,3,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J01A"
"85",85,"2-8","J01","0","A","2016/06/25",91,0,0,0,0,0,17,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J01A"
"86",86,"2-9","J01","0","A","2016/06/25",98,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J01A"
"87",87,"2-10","J01","0","A","2016/06/25",82,15,2,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J01A"
"88",88,"2-11","J01","0","A","2016/06/25",88,5,3,0,2,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J01A"
"89",89,"1-1","J01","0","B","2016/06/25",54,40,0,1,3,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J01B"
"90",90,"1-2","J01","0","B","2016/06/25",75,20,0,1,1,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J01B"
"91",91,"1-3","J01","0","B","2016/06/25",88,10,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J01B"
